
:Recently Swallowed by the Mile-long Serpent
1,The only cleric capable of restoring the monarch to mental and physical health
2,Several heads of state thought to be at secret meeting
3,Wagon full of wine barrels desperately needed for local festival
4,Demigod's arms and armor worn by (deceased) impostor
5,Total population of migratory herd beasts including the prophesied sacred calf
6,Band of heroes hidden inside a giant wooden mouse
7,Caravan transporting sacred relic for holy day festivities in capitol city
8,Stone sarcophagus containing mummy of ancient king that will plague the living with 1000 curses should the seal be broken
9,Crash-landed flying saucer containing envoys from advanced civilization w/dire warning re: imminent arrival of blind idiot space gods
10,Entire tower of an infamous sorcerer rumored to have made revolutionary breakthroughs in arcane arts and sciences
11,The royal librarian and a great swath of the royal collection including several invaluable/irreplaceable volumes
12,Pirate vessel and ship's compliment, just made port following extremely profitable reign of terror

:Freelance Dungeon Security
1,Bored aristocrat, masked, eager to put to use life-long martial training while escaping arranged marriage, and loyal gang of expert big city cutthroats with names like Gutshank, Stompo and The Spleener
2,Ool-phla-ah the Slime Wizard and his Oozes for Every Occasion
3,Mr. and Mrs. Sphinx: professional treasure guards, impeccable attention to every detail, charmingly mated for (preternatural) life, annoying habit of destroying other dungeon monsters
4,Trantlebon the Necromancer provides precision infestations of warding ghosts
5,Dungeon fairies roam from hive to hive, monitoring dungeon events and calling forth mighty queen and attack drones from their encystment as needed
6,Tribe of impecunious man-apes aiming to improve the lot of their kind with a little hard currency, dubious morale in combat, but eager to please employers and unsurpassed in natural fawning sycophantry
7,Mind-eater and host of armed victims, essentially mindless but alert, fearless, ferocious thanks to surgical brain-dining
8,Koklar the jolly old demi-god, a relic of bygone days and long since believed destroyed, and host of loyal ninja-like warriors gifted with supernatural lifespans
9,Brotherhood of ogre monks: a real bargain as they refuse to draw pay and labor tirelessly, amassing number of kills required to advance in their order, once achieved they abandon their posts and return to temple
10,The world's stealthiest hill giant martial arts expert, a one-creature army
11,Exceedingly costly arcane system: floating eyeballs link to magic mouths and decorative enchanted sarcophagi that manufacture and store biomechanical wardens, released only at need
12,Ancient vampire with impressive resume and good number of half-vamp underlings give the appearance of competence while draining the wine cellar and embezzling as much as possible before moving on without giving notice

:Less Popular Undead
1,Sword-haunting ghosts: follow around the blade that killed them from owner to owner, pooling talents to terrify and obstruct the actions of user at just the wrong moment
2,Disembodied brain, undead: uses mind control power to gain fresh host bodies for temporary habitation in hollowed-out skull
3,Reanimated muscle men: created using new process to fully revivify and sustain soft tissues, more deadly than skeletons, more efficient (and moderately more educable) than zombies
4,Ghoul, Bone-marrow feeding: sports smilodon-like hollow tusks for extracting favored comestible
5,Ghoul, Mummy-making: harvests the recently dead not for feasting, but for eternal preservation as part of growing mummy army, mustering in the forbidden lands for an unknown purpose
6,Ghost, Cambrian: spectral creatures of pre-ancient provenance and astonishing variety go about their incomprehensible business with no particular interest in the living
7,Snake Vampires: created by sorcerers to combat asp-infestation in ancient cities, subsequent return of blood-drained asps as vampires totally unanticipated, their bite turns humans into bone-marrow feeding ghouls
8,Shade, Ego-Devouring: target the party member most enamored of self
9,Ghost, pathological liar: spews rumors, hints, tips, dire warnings and prognostications, all of which are off-the-cuff fabrications
10,Cord slashers: spectral scalpel-wielding phantoms, take great delight in severing bond between physical body and soul, which they devour, often with no observable effect on victim
11,Ghost, Virus: infectious spiritual microorganism, soul-borne pathogen lethal to all but the most powerful undead
12,Ghoul, Brain-eating genius: assimilates all knowledge encoded in cortex of victim, often quite genteel, utterly reasonable, ambitions unfathomable

:Weird Monster Attack Forms
1,Launches semi-detached stomach to envelop and digest prey
2,Uses body as projectile
3,Emits brain-melting waves
4,Exudes digestive enzymes in noxious gaseous cloud
5,Uses telepathic power in attempt to scare foes to death
6,Long-distance suction tentacles speedily pump fluids from target
7,Cakes enemies with blinding accumulation of powder expelled on jets of compressed air
8,Extrudes continuous brood of attack-babies
9,Releases giant, ambulatory phagocytes that retrieve nourishment for the main body
10,Heart-stopping voltage attack
11,Soul-destroying metaphysical ray
12,Caustic, adhesive vomit

:Yeah, but THESE Zombies....
1,Labor tirelessly on a colossal beehive-like structure of unknown design and purpose
2,Only devour other types of undead
3,Erupt with pressurized jets of noxious gases when punctured
4,Are so vastly ancient, their tissues so dessicated by time, they can only move a total of a few feet per day of unceasing effort
5,Walk effortlessly on walls and ceiling
6,Restrain and carry off living subjects for the necromancer's unspeakable experiments
7,Emit a constant barrage of literally mind-bending shrieks
8,Arise from the mass graves of great battle on each anniversary for grim reenactment
9,Carry the house of their strange master on their innumerable backs
