# (in progress. Esp. feminine names)
#
# This is a name generator for the Steampunk/Post Apocalyptic 
# roleplaying game [[http://wiki.apocalyptus.com Apocalyptus]]. 
# It might also come in handy for other Steampunk applications, 
# but it contains pretty much exclusively English names, and 
# has a lot of silly made-up surnames.


;Start
1,[Male] (male)
1,[Female] (female)

;Male
1,[MaleFirst] [Surname]
1,[MaleFirst] [MaleFirst] [Surname]
1,[MaleTitle] [MaleFirst] [Surname]
1,[MaleTitle] [MaleFirst] [MaleFirst] [Surname]
1,[MaleNick] [MaleFirst] [Surname]
1,[MaleFirst] [MaleNick] [Surname]
1,[MaleFirst] [Surname] [MaleHon]
1,[MaleFirst] [MaleFirst] [Surname] [MaleHon]
1,[MaleTitle] [MaleFirst] [Surname] [MaleHon]
1,[Init] [MaleFirst] [Surname]
1,[MaleFirst] [Init] [Surname]
1,[MaleFirst] [Surname] [Surname]

;Female
1,[FemaleFirst] [Surname]
1,[FemaleTitle] [FemaleFirst] [Surname]
1,[FemaleFirst] [FemaleFirst] [Surname]
1,[Init] [FemaleFirst] [Surname]
1,[FemaleFirst] [Init] [Surname]
1,[FemaleTitle] [FemaleFirst] [FemaleFirst] [Surname]
1,[FemaleTitle] [FemaleFirst] [Init] [Surname]

;Surname
1,Wrightly
1,Scrabs
1,Ross
1,Rosschurch
1,Rossridge
1,Rossley
1,Rossfield
1,Twain
1,Twainthorpe
1,Twainridge
1,Twainsley
1,Thatcher
1,Graves
1,Gravesley
1,Geavesridge
1,Gravewallace
1,Gravechurch
1,Cogs
1,Cogsridge
1,Coggs
1,Cogberry
1,Rogers
1,Everett
1,Butler
1,Butlersfield
1,Jackson
1,Washington
1,Franklin
1,Franklinthorpe
1,Frankfield
1,Frankridge
1,Pimley
1,Pimsley
1,Pimfield
1,Pimberry
1,Eccleston
1,Ecclestone
1,Pierce
1,Hammond
1,Hammondthorpe
1,Hammondridge
1,Hammondhurst
1,Cleaveland
1,Tanner
1,Tannerberry
1,Tannersley
1,Bassington
1,Bassfield
1,Bassridge
1,Bassley
1,Basset
1,Russet
1,Potter
1,Fink
1,Finkfield
1,Finkerly
1,Pinkerly
1,Finksley
1,Finkridge
1,Finkwallace
1,Finkerton
1,Pinkerton
1,Nottle
1,Nottlehurst
1,Nottlefield
1,Nottleberry
1,Nottleridge
1,Brown
1,Brownridge
1,Brownwallace
1,Brownberry
1,Brownfield
1,Brownthorpe
1,Brownington
1,Brownerly
1,Brownton
1,Browne
1,Guthrie
1,Thompson
1,Montgomery
1,Jones
1,Jonesthorpe
1,Jonesberry
1,Jonesridge
1,Smith
1,Smithfield
1,Smitherly
1,Smuthchurch
1,Wall
1,Wallberry
1,Wallington
1,Wallridge
1,Rutridge
1,Hammer
1,Hammeridge
1,Hammerton
1,Hammerthorpe
1,Hammerbury
1,Humphries
1,Dixon
1,Dixonridge
1,Dixonchurch
1,Grim
1,Grimly
1,Grimhurst
1,Grimwallace
1,Grimfield
1,Grimridge
1,Graves
1,Gravesfield
1,Gravehurst
1,Taggert
1,Taggerton
1,Taggberry
1,Huddleston
1,Willing
1,Willington
1,Willingfield
1,Willingsley
1,Carver
1,Carverton
1,Carveridge
1,Carvington
1,Bittleby
1,Travis
1,Travisfield
1,Traviston
1,Travisridge
1,Holst
1,Penn
1,Pennfield
1,Penning
1,Penhurst
1,Pennberry
1,Pennchurch
1,Peck
1,Peckington
1,Peckingthorpe
1,Hildegard
1,Hildebrand
1,Mott
1,Mottfield
1,Mottersly
1,Mottridge
1,Harvard
1,Tennant
1,Taylor
1,Wright
1,Wrightridge
1,Wrightwallace
1,Wrighton
1,Bagley
1,Bagginton
1,Bagfield
1,White
1,Whitely
1,Whitefield
1,Whiteridge
1,Black
1,Blackchurch
1,Blackbourne
1,Blackwood
1,Arnott
1,Tennyson
1,Foster
1,Fosterfield
1,Fosterberry
1,Fosterly
1,Forbes
1,Ford
1,Fordsley
1,Fordridge
1,Fordington
1,Dent
1,Dentwallace
1,Denterly
1,Dentfield
1,Holmes
1,Holmesthorpe
1,Holmesberry
1,Bucket
1,Dirt
1,Dirton
1,Dirtridge
1,Dirtwallace
1,Gently
1,Gunston
1,Hunter
1,Hunterly
1,Hunt
1,Huntridge
1,Olds
1,Oldsthorpe
1,Hill
1,Hillridge
1,Hillfield
1,Hillchurch
1,Hallchurch
1,Hall
1,Cope
1,Undercope
1,Copefield
1,Copehurst
1,Marsh
1,Marshberry
1,Marshridge
1,Marshley
1,Webster
1,Websterridge
1,Bogart
1,Parker
1,Johnson
1,Jefferson
1,Jeffersfield
1,Jeffersthorpe
1,Jeffersley
1,Jefferidge
1,Granther
1,Grantherton
1,Grantherchurch
1,Dubord
1,Duborton
1,Humperdink
1,Cooper
1,Coopersfield
1,Yaxley
1,Yaxleythorpe
1,Henry
1,Henries
1,Halsey
1,Graham
1,Grahamwallace
1,Grahamridge
1,Grahamfield
1,Bell
1,Bellington
1,Billington
1,Bellinghurst
1,Bellwallace
1,Sifton
1,Sifterly
1,Sifterberry
1,Siftridge
1,Strong
1,Strongfield
1,Strongwallace
1,Stronghurst
1,Strongberry
1,Strongthorpe
1,Fitzpatrick
1,Tupper
1,Tupperhurst
1,Stevens
1,Perley
1,Perlberry
1,Perlridge
1,Pickersgill
1,Doherty
1,Cobb
1,Cobbster
1,Cobberston
1,Cobbington
1,Cobbchurch
1,Fawkes
1,Sherman
1,Tubbs
1,Tubbsberry
1,Tubbsridge
1,Tubbston
1,Walton
1,Waltonfield
1,Waltonhurst
1,Walthorpe
1,Wallington
1,Babcock
1,Babfield
1,Babster
1,Babton
1,Babridge
1,Babcooke
1,Cooke
1,Cookefield
1,Cookington
1,Derringer
1,Wesson
1,Wessonberry
1,Wessonhurst
1,Wessoncock
1,Sterling
1,Sterlington
1,Strerlingfield
1,Sterlinger
1,Kingston
1,Kingsfield
1,Kingschurch
1,Dibkins
1,Randolph
1,Chesterberry
1,Chesterly
1,Chesterkins
1,Murgatroyd
1,Spode
1,Spodeberry
1,Spodefield
1,Spodinger
1,Spodewallace
1,Sidcup
1,Spodecocke
1,Sidwallace
1,Sidcock
1,Kestrel
1,Hawke
1,Hawkridge
1,Hawkwallace
1,Hawkberry
1,Kern
1,Kernington
1,Kernberry
1,Kernfield
1,Kerningthorpe
1,Heston
1,Hestonshire
1,Lincoln
1,Lincolnshire
1,Lincolnhurst
1,Lincolnridge
1,Houston
1,Houstonshire
1,Houstonchurch
1,Madison
1,Hayes
1,Hayesbury
1,Fenton
1,Sinclair
1,Figg
1,Figgston
1,Figgfield
1,Figgridge
1,Figgster
1,Harsh
1,Harshfield
1,Harshton
1,Harshley
1,Herod
1,Herodshire
1,Hubbard
1,Hubbardshire
1,Hubbardsley
1,Hubbardthorpe
1,Abrahamson
1,Acker
1,Ackerthorpe
1,Ackerberry
1,Ackerridge
1,Ackershire
1,Ackerman
1,Adcock
1,Addison
1,Aiken
1,Ainsworth
1,Bluebottle
1,Albert
1,Alberton
1,Albertsworth
1,Alexander
1,Albinson
1,Allard
1,Allen
1,Allensworth
1,Allenhurst
1,Allenberry
1,Quatermain
1,Allsopp
1,Alvey
1,Anderson
1,Andrews
1,Appleby
1,Applecock
1,Applechurch
1,Applefield
1,Applekins
1,Appleton
1,Archer
1,Archerton
1,Archersly
1,Archersworth
1,Arkwright
1,Armistead
1,Arnold
1,Arringron
1,Arterberry
1,Arterthorpe
1,Arterfield
1,Artercocke
1,Artercooke
1,Ash
1,Ashworth
1,Atkins
1,Attaway
1,Atwater
1,Auttenberg
1,Avery
1,Averyhurst
1,Ayers
1,Backus
1,Bailey
1,Bailyridge
1,Bailysworth
1,Bailinger
1,Baines
1,Baker
1,Bakerton
1,Bakerthorpe
1,Bakerchurch
1,Bakershire
1,Bakersley
1,Bakerhurst
1,Baldwin
1,Baldster
1,Baldridge
1,Baldwallace
1,Baldfield
1,Baldcroft
1,Baldberry
1,Bancroft
1,Banister
1,Banks
1,Bankston
1,Banksfield
1,Banksridge
1,Barber
1,Barbershire
1,Barbersley
1,Barberton
1,Barberridge
1,Barbercroft
1,Bardsley
1,Barker
1,Barkerfield
1,Barkerthorpe
1,Barkerly
1,Barkersworth
1,Barlow
1,Barlowcroft
1,Barnes
1,Barnescock
1,Barnesley
1,Barnesberry
1,Barnesfield
1,Barton
1,Bass
1,Bates
1,Batesridge
1,Batescock
1,Bateworth
1,Batescroft
1,Battle
1,Battlethorpe
1,Battleton
1,Battleberry
1,Battlebury
1,Battlefield
1,Battlesly
1,Battlechurch
1,Battlesley
1,Battlekins
1,Battlesworth
1,Battlecroft
1,Batts
1,Baxter
1,Baxterbury
1,Baxtershire
1,Baxterhurst
1,Beake
1,Beakeshire
1,Beakewallace
1,Beasley
1,Beattie
1,Beck
1,Beckridge
1,Beckworth
1,Beckroft
1,Beckington
1,Beckhurst
1,Beckett
1,Belcher
1,Belcherton
1,Belcherthorpe
1,Belcheridge
1,Belchercroft
1,Belchercock
1,Bellamy
1,Bennet
1,Benneton
1,Darcy
1,Bennetfield
1,Benton
1,Bentonshire
1,Bentonberry
1,Benfield
1,Benthorpe
1,Bencock
1,Benworth
1,Berry
1,Bird
1,Birdberry
