
;Start
8,[Conan Oracle.Start] ''(from "Conan Oracle")''
8,[Shakespeare Oracle.Start] ''(from "Shakespeare Oracle")''
8,[Against the forest oracle.Start] ''(from "Against the forest oracle")''
8,[Cascadian Folklore Oracle.Start] ''(from "Cascadian Folklore Oracle")''

4,[Veshti Oracle - The Faraway Lands.Start] ''(from "Veshti Oracle: The Faraway Lands")''
4,[The Unquiet Past Oracle.Start] ''(from "The Unquiet Past Oracle")''
4,[Elder Scrolls - Mephalas Web Oracle.Start] ''(from "Elder Scrolls: Mephala's Web Oracle")''

2,[Major Events.Start] ''(from "Major Events")''
2,[Open story threads.Start] ''(from "Open story threads")''
2,[Heavy Metal Fantasy Oracle.Start] ''(from "Heavy Metal Fantasy Oracle")''

1,[Lovecraftian Horror Oracle.Start] ''(from "Lovecraftian Horror Oracle")''
1,[Art Grace and Guts Oracle.Start] ''(from "Art, Grace, and Guts Oracle")''
1,[Exalted - Age of Sorrows.Start] ''(from "Exalted: Age of Sorrows")''
1,[Blood and Sex Oracle.Start] ''(from "Blood and Sex Oracle")''


