
#Oracle for [http://suffadv.wikidot.com/ Sufficiently Advanced], 
#a Game of the Far Future, based on the existing 
#[http://suffadv.wikidot.com/briefing Briefing Generator] and [http://suffadv.wikidot.com/situation Situation Generator].

;Start
1,<h2>Briefing from the Transcendentals</h2>
_<sgdisplay iterations="1">
_1. You must [You_Must] [And].<br/>
_2. Then you will [Then_You_Will].<br/>
_3. After which, [After_Which].
_</sgdisplay>
_
_<h2>Facts on the Ground</h2>
_<sgdisplay iterations="1">
_<b>Red Herring:</b> [Problem]<br/>
_<b>The Real Problem:</b> [Problem]<br/>
_<b>Source of the Problem:</b> [Source_of_the_Problem]<br/>
_<b>Human Complication:</b> [Human_Complication]<br/>
_<b>Nonhuman Complication:</b> [Nonhuman_Complication]<br/>
_<b>Inspector Hooks:</b> [Inspector_Hooks]. <br/>
_<b>Consequences of Failure:</b> [Consequences_of_Failure]<br/>
_</sgdisplay>
_
_<h2>Random Civiliations</h2>
_<sgdisplay iterations="3">
_<b>Name:</b> [Civilization_Name]<br/>
_<b>Description:</b> [Bleakworld.Temperature], [Bleakworld.Colour] [Bleakworld.Terrain] world [Bleakworld.Function]<br/>
_<b>Core Values:</b> [Core_Value] and [Core_Value]<br/>
_<b>Inspector Status:</b> [Inspector_Status]<br/>
_</sgdisplay>

;You_Must
1,wormhole to [Civilization]
1,wormhole to (location)
1,travel to (location), which is under a wormhole interdiction field,
1,speak with (NPC)
1,attend (event)
1,negotiate with (large group) of [Civilization]
1,infiltrate (large group) of [Civilization]
1,find and apprehend (NPC)
1,defend the Patent Office's recent actions to [Civilization]
1,defend the Patent Office's recent actions in (location)
1,take a vacation on (world)

;Civilization
1,Civilization #1
1,Civilization #2
1,Civilization #3

;And
1,unnoticed
1,individually
1,with an open mind
1,as soon as possible
1,at your convenience
1,before (date)
1,not before (date)
1,with (NPC)
1,in disquise
1,as an official representative of the Transcendentals

;Then_You_Will
1,avoid human contact
1,investigate the use of [Technology]
1,prevent the activation of [Technology]
1,speak with (NPC)
1,prevent the spread of [Technology]
1,simply observe
1,insure that intellectual property law is being followed
1,act as mediator
1,make contact with (small group) of [Civilization]
1,be the target of an attack

;Technology
1,[Technology_Type] [Technology_Application] technology

;Technology_Type
1,AI
1,biotech
1,cognitech
1,decay-induction field
1,empathic
1,infosphere
1,metatech
1,psychohistory
1,replicator
1,nanophage
1,nanotech
1,neural meshes
1,stringtech
1,transmutation
1,weather
1,wormhole
1,biofeedback

;Technology_Application
1,offensive
1,protective
1,medical
1,transportation
1,quality Of Life
1,informational
1,infrastructure
1,self-replicating
1,utility

;After_Which
1,we have no further information at this time
1,you should be prepared for conflict.
1,you should work as quickly as possible to resolve the problem.
1,you can take a week off
1,you will be updated in situ
1,you will be unable to return for three weeks
1,backup will be available as you need it
1,you should contact the Central Office
1,you should stand ready for a new mission immediately
1,you will have to use your best judgment

;Civilization_Name
4,[Fantasy Names.MaleFirstName]
4,[Arabesque Names.Start]
2,[Aztec Names.Start]
3,[Centaur Names.Male]
3,[Centaur Names.Female]
1,[Ancient Greek Female Names.Start]
1,[Ancient Greek Island Names.Start]
1,[Ancient Greek Male Names.Start]
