
# These names are taken from the 1818 Chickasaw nation census.  They might 
# be useful for any group of partially-assimilated Native Americans, or 
# maybe isolated space colonists or something.

;Start
1,[male]
1,[female]

;male
1,Adam 
1,Ishtonnarhay  
1,Jack 
1,Winchester 
1,Yocarhontubby  
1,Braman
1,Carloshottahay
1,Alexander 
1,Billy 
1,Carnocktubby  
1,Chaffer
1,Gilbert  
1,Hawkins
1,Ishtemmarharlechar 
1,Jefferson  
1,Henry 
1,Immarhollochetubby  
1,Chappaychar  
1,Ishtemartley  
1,Eensharkay
1,George 
1,Josiah 
1,Nacknitubby  
1,Samuel 
1,Schtimmarhoye  
1,Davis  
1,Slone
1,Shehomarlaychar  
1,Talhiharhar  
1,Washington
1,Shemarhoyeachar  
1,Rhode
1,Riley 
1,Weston 
1,Silas  
1,Simon  
1,Jamison  
1,Warsh 
1,John 
1,Maitubby  
1,Benjamin  
1,James  
1,Wilson 
1,Temullaiekay 
1,Schtimmarshashoctay  
1,Logan 
1,Munro  
1,Joseph  
1,Edmund
1,Isaac
1,Commodore 
1,Tooklaishtubby  
1,Jude 
1,Lemuel 
1,Malcolm 
1,Levi 
1,Onnarhoketay 
1,Marshemay  
1,Rueben 
1,Martin
1,Meharchubby  
1,Molsey 
1,Nossaecachubby  
1,Ooklarcochubby 
1,Pitman 
1,Robinson 
1,Wileky 
1,Dase 
1,Shelaecher
1,Dickson
1,Immulthoye  
1,Chainsharhoctay 
1,Dobbin
1,Jerry
1,William
1,Shatlarkay  
1,Thomas  
1,Jacky 
1,Apalartubby  
1,Stephen

;female
1,Amanda
1,Sussy 
1,Tonarhay  
1,Vina  
1,Sylphe  
1,Tennessee 
1,Shakkatchayo 
1,Nisay  
1,Pallas 
1,Molly  
1,Nancy 
1,Louisiana 
1,Jensey 
1,Kasy
1,Sukey 
1,Sarah 
1,Polly
1,Missy 
1,Neely
1,Liley
1,Dolly 
1,Anna 
1,Becca
1,Catharine  
1,Elsey 
1,Katy
1,Lissey  
1,Phyllis 
1,Poniachar 
1,Rachel
1,Sarkeetan 
1,Susannah 
1,Visey 
1,Daisy 
1,Betsy  
1,Caroline  
1,Silay
1,Hetty  
1,Jennett
1,Chomocktay
1,Arnohoye 
1,Asa
1,Barney  
1,Carsey
1,Dorothy 
1,Eliza  
1,Katonar 
1,Lucy 
1,Nanny
1,Pauline 
1,Shemartay
1,Sissy
1,Charlotte
1,Lydia  
1,Piky
1,Rebecca 
1,Chinnumbee  
1,Kersey 
1,Sibbee
1,Lotty 
1,Sinia  
1,Meely  
1,Mintahoyo 
1,Kinnay 
1,Lesila 
1,Elsvia
1,Amy  
1,Charity 
1,Eveline 
1,Ginsay  
1,Harriet  
1,Kathy 
1,Lorhoyo
1,Mississippi 
1,Sally
1,Chikkalohe 
1,Sinai  
1,Tina 
1,Visa 
1,Amelia

;surname
1,Allen
1,Gilchrist 
1,Bell 
1,McCoy 
1,Cheagle 
1,McLish 
1,Gunn 
1,Kemp 
1,Anderson 
1,Evans 
1,Winters 
1,Carlyle 
1,Smith 
1,Perry 
1,McGilray 
1,Kearny 
1,McGee 
1,Jefferson 
1,Love 
1,Colbert
1,Macintosh 
1,James 
1,McTavish 
1,Steward 
1,Burney 
1,Glover 
1,Lewis 
1,Handey 
1,Sealy 
1,Keel 
1,Underwood 
1,Perry 
1,Johnson 
1,Moore 
1,Pettygrove 
1,McGlaughlan 
1,Ligh 
1,Brown 
1,Cammell 
1,Fraser


