
#
# Data table for MegaTraveller ship generation program.
# I didn't think it would be quite this large!
#
# The basic format is:
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name
#
# key is a field of 4 hex digits.
# override is a single character field specifying if this entry overrides
#   lower TL entries for the same thing (:, +, *, ! or -).  If a + is present
#	the entry will always be returned.  If a - is present, the entry
#	is subject to being replaced by an equivalent item (same key, code)
#	that has a higher tech level.  If a * is present, it means that
#	lower TL devices of this key and code are no longer available at
#	this TL [i.e. improved but not replaced, used to specify turrets].
#	A : indicates that the given item MUST be unique over all items
#	whose keys start with the same two hex digits.  Furthermore, an
#	item of this kind MUST also have a quantity of exactly one.  Following
#	the : there will be another override field (+, * or - only) for this
#	item.  This allows for unique items that override lower TL things!
#	An override of ! means that this item defines a submenu.  This is
#	used to allow the user to choose individual items.  The fields
#	follow are somewhat different.  The next (third) field is another
#	key, that specifies what item code is in the sub-menu.  The fourth
#	optional field is the minimum TL that this thing becomes available.
#	And the name field is the message printed in the menu displayed to
#	the user.
# code is the UCP code (only codes [1-9A-Z] are to be printed, specifically
# lower case codes are NOT printed and a zero code is NOT printed)
# TL is the minimum TL to get this thing
# Pow, Vol, Wt, $ are power, volume, weight and price
# HP is the number of hardpoints used
# minVol is the minimum volume for the device
# Cp, Cp* are the control points and Cp multiplier (for computers, Cp is
# the maximum control point input)
# waste is a measure of wasted internal space (i.e. no life support)
# name is a text description of the item
#
# Every field except the key, the code and the override may be absent
# The special sequence %string causes all the remaining fields to take
# default values and the name becomes string
# a $ causes just that field to take a default value
# The fields indicated + above are either a constant quantity or
# a multiplicative quantity. (The latter is specified using a leading
# '*').
# Any real values can either be presented as a plain number or as a
# ratio of two numbers (use a '/' between them and no spaces).
#
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name

0000! 1000	%Hull Section
# Basic hulls.  These should probably be made more general and allowed to
# take on values that are not in this table. [ p62]
# To reduce the length of the listings produced by the program, these have
# been broken into several different bits based on hull size.  To revert,
# change all keys to 1100, delete all menu selections and include
# the following entry:
#1000! 1100	%Standard Hull
1000! 1110	%Ship Hulls
1000! 1120	%Small Craft Hulls
#1100! 1110	%Standard Hull < 10 Tons
#1100! 1120	%Standard Hull 10 Tons - 20 Tons
#1100! 1130	%Standard Hull 20 Tons - 100 Tons
#1100! 1140	%Standard Hulls 100 Tons - 1000 Tons
#1100! 1150	%Standard Hulls 1000 Tons - 10000 Tons
#1100! 1160	%Standard Hulls 10000 Tons and larger
1120:+ a 0 $       -0.10   0.010       400     -1	%Standard Hull - 0.007 
1120:+ b 0 $       -0.25   0.025       850     -1	%Standard Hull - 0.019 
1120:+ c 0 $       -0.50   0.050      1200     -1	%Standard Hull - 0.037 
1120:+ d 0 $       -0.75   0.075      1400     -1	%Standard Hull - 0.056 
1120:+ e 0 $       -1.00   0.100      1600     -1	%Standard Hull - 0.074 
1120:+ f 0 $       -1.25   0.125      1800     -1	%Standard Hull - 0.093 
1120:+ g 0 $       -1.50   0.150      2000     -1	%Standard Hull - 0.111 
1120:+ h 0 $       -1.75   0.175      2200     -1	%Standard Hull - 0.130 
1120:+ j 0 $       -2.50   0.250      2400     -1	%Standard Hull - 0.185 
1120:+ k 0 $       -3.37   0.400      2600     -1	%Standard Hull - 0.250 
1120:+ m 0 $       -6.75   0.700      2800     -1	%Standard Hull - 0.500 
1120:+ n 0 $      -10.12   1.100      3000     -1	%Standard Hull - 0.750 
1120:+ p 0 $       -13.5     1.5      3300     -1	%Standard Hull - 1     
1120:+ q 0 $       -27.0     2.2      3700     -1	%Standard Hull - 2     
1120:+ r 0 $       -40.5     2.8      4200     -1	%Standard Hull - 3     
1120:+ s 0 $       -54.0     3.5      5800     -1	%Standard Hull - 4     
1120:+ t 0 $       -67.5     4.0      6500     -1	%Standard Hull - 5     
1120:+ u 0 $       -81.0     4.6      7500     -1	%Standard Hull - 6     
1120:+ v 0 $       -94.5     5.2      8500     -1	%Standard Hull - 7     
