a Ostermann
b Vandir
c Outrun
d Chin Shan
e Raidermarch
f NewSun
g Old Worlds
h Peril's Edge
i Kobe
j Bright Heavens
k Reach
l No Return
m Syzlin
n Taitin
o Scatter
p Falaya
route 1630 1530
route 1530 1430
route 1430 1330
route 1330 1130
route 1130 1128
route 1128 1027
route 1027 1126
route 1126 1125
route 1125 1023
route 1023 0923
route 1125 1325
route 1325 1426
route 1426 1427
route 1427 1528
route 1528 1530
route 1626 1624
route 1624 1523
route 1523 1621
route 3226 2826
route 2826 2625
route 2625 2623
route 2623 2522
route 2623 2823
route 2823 3221
route 3130 3030
route 3030 2830
route 3030 3028
route 3028 2728
route 2728 2528
route 2728 2826
route 0202 0206
route 0202 0401
route 0206 0704
route 0505 0510
route 0206 0308
route 0308 0508
route 0508 0709
route 0709 0810
route 0704 0804
route 0401 0601
route 0601 0702
route 0702 0704
route 2518 2520
route 2612 2713
route 2713 2812
route 2718 2518
route 3220 2718
route 2815 2916
route 2916 3015
route 3015 3215
route 3113 3011
route 2505 2504
route 2504 2602
route 2505 2606
route 2606 2610
route 2602 2702
route 2602 2704
route 2608 2708
route 2704 2804
route 2804 2806
route 2806 2708
route 2708 2808
route 2808 2810
route 2902 2702
route 2806 2907
route 2902 3003
route 3003 2804
route 3108 3207
route 2532 2733
route 2733 3031
route 3236 3137
route 3137 3138
route 3138 3238
route 3238 3140
route 2638 2738
route 2738 2636
route 1813 1712
route 1819 1719
route 1813 2014
route 2014 2016
route 2016 1816
route 2014 2214
route 2417 2214
route 2214 2313
route 2211 2313
route 2211 2111
route 2016 2217
route 2217 2417
route 0113 0515
route 0214 0314
route 0214 0316
route 0316 0416
route 0515 0416
route 0416 0418
route 0418 0619
route 0619 0616
route 0616 0515
route 0515 0813
route 0813 0713
route 0713 0611
route 0811 0813
route 2031 2133
route 2133 2333
route 2333 2433
route 0903 1102
route 0907 1208
route 1102 1203
route 1203 1304
route 1304 1306
route 1208 1606
route 1306 1507
route 1507 1509
route 1509 1410
route 1102 1502
route 1502 1602
route 1010 0910
route 0934 1135
route 1135 1335
route 1335 1434
route 1434 1533
route 1533 1332
route 1332 0932
route 1533 1632
route 1012 1015
route 1019 0918
route 1117 1015
route 1217 1117
route 1217 1213
route 1215 1014
route 1313 1213
route 1313 1311
route 1311 1411
route 1411 1312
route 1518 1616
route 1616 1516
route 1516 1514
route 1514 1612
route 0222 0121
route 0222 0124
route 0225 0124
route 0423 0324
route 0324 0225
route 0225 0627
route 0623 0423
route 0623 0724
route 0724 0727
route 0727 0627
route 0627 0827
route 0827 0727
route 0627 0729
route 0729 0829
route 0829 0830
route 0623 0722
route 0722 0621
route 0140 0240
route 0140 0238
route 0238 0640
route 0439 0440
route 1702 1706
route 1706 2004
route 1702 1902
route 1810 2010
route 1902 2103
route 2004 2103
route 2004 2205
route 2405 2407
route 2205 2206
route 2206 2308
route 1726 1728
route 1726 1825
route 1825 1924
route 1924 1822
route 1822 1921
route 1829 1728
route 1728 1928
route 2027 1928
route 1921 2122
route 2428 2030
route 2329 2227
route 2227 2027
border 0601 0702 0801 0901 0801 0802 0903 0904 0804 0704 0803 0802 0702 0601 darkred
border 1502 1602 1702 1701 1702 1802 1902 1802 1702 1602 1502 olivedrab
border 0214 0314 0413 0412 0413 0414 0515 0614 0515 0516 0616 0617 0616 0516 0416 0316 0215 0214 darkkhaki
border 1117 1217 1117 white
border 1417 1518 1617 1616 1516 1616 1717 1816 1717 1617 1618 1719 1819 1920 2019 2018 2019 2020 2021 2122 2021 1921 1821 1822 1722 1622 1523 1622 1621 1620 1520 1619 1618 1518 1417 darkslategray
border 1813 1914 2013 2012 2013 2114 2214 2215 2316 2215 2116 2016 2116 2115 2014 1914 1813 darkblue
border 2405 2505 2504 2603 2602 2702 2701 2702 2802 2902 2903 3003 3104 3003 2903 2803 2804 2805 2806 2907 3006 2907 2908 2808 2809 2810 2811 2812 2813 2713 2612 2713 2812 2811 2810 2710 2610 2609 2608 2607 2507 2407 2507 2506 2405 purple
border 3101 hotpink
border 0121 darkgreen
border 0222 darkgreen
border 0225 0326 0225 white
border 0627 0727 0827 0727 0627 white
border 0729 0829 0929 0930 1030 1130 1030 1031 1132 1133 1233 1134 1135 1034 0934 0834 0835 0836 0937 0938 1038 0938 0937 0836 0736 0835 0834 0833 0832 0831 0830 0829 0729 darkblue
border 0140 0239 0238 0239 0340 0439 0540 0640 0540 0440 0340 0240 0140 darkkhaki
border 2623 darkred
border 2329 2428 2528 2627 2728 2627 2528 2428 2329 orange
border 2638 2738 2638 darkslategray
