a Ultima
b Suleiman
c Concord
d Harlequin
e Alderamin
f Esperance
g Vega
h Banasdan
i Albadawi
j Dingir
k Sol
l Arcturus
m Jardin
n Capella
o Gemini
p Kukulkan
route 0110 0111
route 0111 0110
route 0123 0524
route 0214 0111
route 0214 0612
route 0215 0214
route 0230 0233
route 0230 0330
route 0231 0230
route 0317 0215
route 0330 0632
route 0524 0528
route 0524 0722
route 0632 0330
route 0632 0833
route 0704 1105
route 0717 0317
route 0717 0814
route 0717 0919
route 0722 0921
route 0833 0931
route 0833 1034
route 0919 0717
route 0919 0921
route 0921 0919
route 0921 1222
route 0931 0833
route 1034 0833
route 1034 1035
route 1035 1538
route 1105 0704
route 1105 1207
route 1105 1304
route 1127 0929
route 1127 1429
route 1207 1311
route 1222 1224
route 1222 1320
route 1222 1523
route 1224 1127
route 1304 1504
route 1311 1207
route 1320 1222
route 1418 1320
route 1418 1717
route 1429 1533
route 1435 1332
route 1512 1311
route 1512 1813
route 1523 1526
route 1523 1822
route 1526 1827
route 1533 1429
route 1538 1435
route 1538 1540
route 1538 1738
route 1540 1738
route 1717 1418
route 1738 1538
route 1738 2538
route 1813 1512
route 1813 1814
route 1814 1717
route 1822 1523
route 1822 2121
route 1827 1526
route 1827 1830
route 1827 2227
route 1912 1813
route 1912 2010
route 2010 1912
route 2010 2109
route 2109 2205
route 2121 2218
route 2121 2521
route 2205 2303
route 2218 2121
route 2218 2517
route 2517 2218
route 2521 2121
route 2521 2821
route 2538 2138
route 2538 2636
route 2538 2740
route 2636 2734
route 2636 2835
route 2734 2732
route 2740 2939
route 2807 2910
route 2812 2910
route 2812 2915
route 2821 2920
route 2821 3024
route 2835 3235
route 2902 2905
route 2905 2807
route 2905 3106
route 2910 2812
route 2915 2517
route 2937 3232
route 2939 2937
route 3024 3029
route 3026 2628
border 0000 0100 0200 0300 0400 0500 0600 0700 0800 0900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3301 3302 3303 3304 3305 3306 3307 3308 3309 3310 3311 3312 3313 3314 3315 3316 3317 3318 3319 3320 3321 3322 3323 3324 3325 3326 3327 3328 3329 3330 3230 3131 3030 2930 2829 2730 2629 2530 2430 2431 2432 2533 2534 2434 2334 2233 2133 2033 1934 1834 1734 1733 1632 1631 1531 1430 1330 1230 1131 1130 1029 0930 0829 0730 0731 0630 0530 0529 0428 0328 0228 0129 0028 0027 0026 0025 0024 0023 0022 0021 0020 0019 0018 0017 0016 0015 0014 0013 0012 0011 0010 0009 0008 0007 0006 0005 0004 0003 0002 0001 0000 darkred
border 0029 0130 0229 0329 0429 0430 0531 0631 0732 0831 0830 0931 1030 1031 1132 1231 1331 1431 1532 1533 1633 1634 1735 1835 1935 2034 2134 2234 2335 2435 2535 2634 2633 2632 2532 2531 2630 2731 2830 2931 3031 3132 3231 3331 3332 3333 3334 3335 3336 3337 3338 3339 3340 3341 3241 3141 3041 2941 2841 2741 2641 2541 2441 2341 2241 2141 2041 1941 1841 1741 1641 1541 1441 1341 1241 1141 1041 0941 0841 0741 0641 0541 0441 0341 0241 0141 0041 0040 0039 0038 0037 0036 0035 0034 0033 0032 0031 0030 darkblue
border 1019 1119 1118 1217 1317 1416 1415 1414 1413 1514 1613 1713 1813 1914 2014 2114 2113 2213 2214 2215 2216 2317 2217 2218 2119 2019 1920 1820 1721 1620 1520 1420 1321 1220 1120 1019 green
border 1306 darkblue
region 0000 0100 0200 0300 0400 0500 0600 0700 0800 0900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3301 3302 3303 3304 3305 3306 3307 3308 3309 3310 3311 3312 3313 3314 3315 3316 3317 3318 3319 3320 3321 3322 3323 3324 3325 3326 3327 3328 3329 3330 3230 3131 3030 2930 2829 2730 2629 2530 2430 2431 2432 2533 2534 2434 2334 2233 2133 2033 1934 1834 1734 1733 1632 1631 1531 1430 1330 1230 1131 1130 1029 0930 0829 0730 0731 0630 0530 0529 0428 0328 0228 0129 0028 0027 0026 0025 0024 0023 0022 0021 0020 0019 0018 0017 0016 0015 0014 0013 0012 0011 0010 0009 0008 0007 0006 0005 0004 0003 0002 0001 0000 palevioletred
region 0029 0130 0229 0329 0429 0430 0531 0631 0732 0831 0830 0931 1030 1031 1132 1231 1331 1431 1532 1533 1633 1634 1735 1835 1935 2034 2134 2234 2335 2435 2535 2634 2633 2632 2532 2531 2630 2731 2830 2931 3031 3132 3231 3331 3332 3333 3334 3335 3336 3337 3338 3339 3340 3341 3241 3141 3041 2941 2841 2741 2641 2541 2441 2341 2241 2141 2041 1941 1841 1741 1641 1541 1441 1341 1241 1141 1041 0941 0841 0741 0641 0541 0441 0341 0241 0141 0041 0040 0039 0038 0037 0036 0035 0034 0033 0032 0031 0030 lightblue
region 1019 1119 1118 1217 1317 1416 1415 1414 1413 1514 1613 1713 1813 1914 2014 2114 2113 2213 2214 2215 2216 2317 2217 2218 2119 2019 1920 1820 1721 1620 1520 1420 1321 1220 1120 1019 lightgreen
region 1306 lightblue
